Short description	Description	Caller	Assignment group
could you resolve item category error during zfd ordering?	"_x000D_
_x000D_
received from: fbvpcytz.nokypgvx@gmail.com_x000D_
_x000D_
hello it team,_x000D_
_x000D_
we are facing item category issue for zfd(free of charge) order so#35900902â€¦now we cannot select item category zklnâ€¦_x000D_
could you please check and resolve the issue?_x000D_
_x000D_
order detail:_x000D_
sales org : 1306_x000D_
so#35900902_x000D_
order type : zfd_x000D_
mm#4855028_x000D_
qty : 10pcs_x000D_
delivery plant : plant_317_x000D_
usage : product lost intrans_x000D_
_x000D_
we cannot select item category ""zkln"" without error. hence, erp cannot identify this open order. we cannot see this open order at md04 screen._x000D_
[cid:image003.jpg@01d20db0.cf5931a0]_x000D_
_x000D_
[cid:image004.jpg@01d20db0.cf5931a0]_x000D_
_x000D_
[cid:image005.png@01d20db0.6fa42800]_x000D_
_x000D_
"	fbvpcytz nokypgvx	GRP_13
invalid incompletion error on so#24903890	"so#35014901 has ""configuration"" incompletion for items 10-40 which is invalid. these items are complete and error should not be there"	gtfdvnry nxsaqrfh	GRP_13
tax not calculated 	"from: raghyvhdra najuty _x000D_
sent: monday, september 12, 2016 6:33 pm_x000D_
to: nwfodmhc exurcwkm_x000D_
cc: srinfhyath araghtyu; parthyrubhji erathyur_x000D_
subject: trurthyuft - re: tax not calculated_x000D_
_x000D_
hello,_x000D_
_x000D_
please note  material has reached along with  excise inwarehouse_tool without vat w.r.t  to inwarehouse_tools  _x000D_
_x000D_
1) 0512673537 dt.31.08.2016_x000D_
2) 0512669241 dt 22.08.2016_x000D_
3) 0512673538 dt 22.08.2016_x000D_
"	ikerxqwz prkyuitl	GRP_13
erp customer ref not on delivery	"hoi,_x000D_
_x000D_
view attached 2 examples where the customer ref as entered in erp is not printing on delivery's for 1207 sales org. also printscreen from order wikfnmlwds wmtiruac attached._x000D_
_x000D_
this might also be the case in other sales org's. please also check 1202 , 1206 , 1225, 1227, 1241, 1278_x000D_
_x000D_
"	ugtzkvps crnmtjsv	GRP_13
there isn't any price under customer pruchase order 24899738	"the customer group 3 of customer 81504358 has been defigned as cn7, and i was told price of the 4 products ( mm#  2869194, 2936676, 4232294, 5174961) have been maitained in system, but the order 35900849 isn't with any price on it. please check and let me know what's wrong in system for it. the customer is in urgnet need of the order , please solve the problem for us aerp._x000D_
please find the detail from the attached._x000D_
"	phfduvwl yqnaucep	GRP_13
approval workflow problems	"_x000D_
i am approfghaching you, as we have problems with our approval workflow for credit memo requests respectively rmas._x000D_
i opened several tickets regarding this topic, which unfortunately did not lead to a final solution._x000D_
maybe it is a (erp-) language problem for my part._x000D_
anyway, i  hope, that you can help to get this fixed._x000D_
_x000D_
the approval levels for our organization are as follows (regardless who is the sales person in customer account)_x000D_
level 1 (1.000â‚¬-4.999â‚¬): jwqyxbzs adpvilqu (afcbrhqw vudghzcb as subsitute, if possible)_x000D_
level 2 (5.000â‚¬-9.999â‚¬): jwqyxbzs adpvilqu (afcbrhqw vudghzcb as substitute if possible)_x000D_
level 3 (10.000â‚¬-24.999â‚¬): qsoxltny dzjespml (tjnwdauo jkdwbhgs as substitute if possible)_x000D_
level 4 (25.000â‚¬ plus): michghytuael rÃ¼nz (tjnwdauo jkdwbhgs as substitute if possible)_x000D_
_x000D_
it often happens, that these workflows are routed to the wrong person._x000D_
lauacyltoe hxgaycze example: rma 7611183856 was routed to me at level 1 and approved, but then to jmkcewds qkoipbzn at level 2, wo has nothing to do with it._x000D_
_x000D_
it takes a lot of time, to gather the wrong routed workflows and to forward them to the responsible person._x000D_
_x000D_
i appreciate your help._x000D_
"	jwqyxbzs adpvilqu	GRP_13
kein rechnungseingang beim kunden per e-mail 	"kunde 81125605 / cc5202 erhÃ¤lt unsere rechnungen per e-mail - rechnungsempfÃ¤nger 81151242 / cc5202 - empfangende e-mail adresse rechnungseingang@sew-eurodrive.de bis zum 01.08.16 hat der kunde problemlos die rechnungen erhalten. ab dem 02.08.16 nicht mehr. dem kunden liegen die rechnungen somit nicht vor und werden deshalb auch nicht bezahlt. ich kann keine Ã¤nderung feststellen  und bitte deshalb um klÃ¤rung. danke. _x000D_
_x000D_
_x000D_
translation : _x000D_
customer 81125605 / cc5202 receive our inwarehouse_tools by email - inwarehouse_tool recipient 70,040,131 / cc5202 - receiving email address rechnungseingang@sew-eurodrive.de until 01:08:16 the customer easily get the bills. from 02:08:16 not. the customer therefore not be before the bills and are therefore not paid. i can not detect any change and therefore ask for clarification. "	hgufmidr mfobkyun	GRP_13
after changing to new group, several workflow items from old group are (still) visible in new groups workflow, too /-154	"phone: 
changed from milling team  csd 5111156895 to holemaking team csd 515611894, but still several workflow items from old group are visible in new groups workflow, too. erp substitution was ended by old team, as far as i was informed."	nobwzdvh yqjugexl	GRP_13
inwarehouse_tool format - issue outputs to e-mail	"_x000D_
_x000D_
received from: zfliqpxm.dgfvaqlh@gmail.com_x000D_
_x000D_
hello_x000D_
_x000D_
while using t/c  zz_mails  we are getting inwarehouse_tools in 2 different formats._x000D_
please refer enclosed e-mails_x000D_
_x000D_
inwarehouse_tool 0512673680       : not okay_x000D_
_x000D_
inwarehouse_tool 0512669014       : is okay_x000D_
_x000D_
please help us in getting all inwarehouse_tools as per format appearing in inwarehouse_tool 0512669014_x000D_
_x000D_
"	zfliqpxm dgfvaqlh	GRP_13
#mm2247736 can not inwarehouse_tool consignment mb58 acct 81254672, total 36 piezas.	#mm2247736 can not inwarehouse_tool consignment mb58 acct 81254672, total 36 piezas.	houcdelq wnypackq	GRP_13
erp rounding off the total of an order	we have quotes 3116232719, 3116233894 and 3116234383, that gives me the correct unit price but the total of the entire quote is rounding off.  can this be fixed?  customers will deny payment if the total doesn't match what the unit price is.  	iqbyrtop izpmvgfq	GRP_13
ç­”å¤: 35969737/2032252	"_x000D_
_x000D_
received from: wqzarvhx.hfsojckw@gmail.com_x000D_
_x000D_
hi, help_x000D_
_x000D_
pls check item 20, net value in condition table is 17rmb. but shows  34rmb on the view of item overview, pls correct, "	wqzarvhx hfsojckw	GRP_13
rebate agreements 92 will not create partial settlement	"rebate agreements 92 will not create a partial settlement with transaction vb(7 _x000D_
_x000D_
i have confirmed with agreement 92 specifically that there were sales during the month of august.  other agreements are working to create the credit without fail.  please advise what could be the cause and steps to correct.  please also note this same process worked to generate the july documents ."	pfzxecbo ptygkvzl	GRP_13
job Job_2881 failed in job_scheduler at: 08/31/2016 18:20:00  	"received from: monitoring_tool@company.com_x000D_
_x000D_
job Job_2881 failed in job_scheduler at: 08/31/2016 18:20:00"	bpctwhsn kzqsbmtp	GRP_13
mm 7154294 - transfer pricing	mm 7154294 has an average customer net price (vk13 - ztfn) for 1101 of 20.60 per pc.  in october 2015 the price was per pak.  why did the price switch from per pak to per pc?  i would think that the price of this material should be 20.60 per pak and 2.06 per pc since it is a pack of 10.  it is imperative that we fix this issue immediately as we have a short time framdntye to fix the transfer price and avoid overpaying customs duties.  please advise.  	wgothrzl iokdftgn	GRP_13
xjmpacye qgxrptnf cannot send delivery notes via zz_mails	"dear it team, _x000D_
my colleague cannot send herself pdfÂ´s out of erp via zz_mails. _x000D_
the problem already exists since some days. _x000D_
she already looged off an on from erp and windows, but it stil does not work. _x000D_
can you please have a look?_x000D_
"	xjmpacye qgxrptnf	GRP_13
additional corrections of  sales org 1278 and company address/phone numbers required after germany move	"1. sales organisation address 1278 â€“ phone number and fax number need to be reversed to original phone/fax number from fÃ¼rth.  0911â€¦_x000D_
2. plant address plant_124 â€“ phone /fax numbers need to be adjusted to show germany central phone numbers/fax_x000D_
3. company code address of 5278 need to be reverted back! address is in fÃ¼rth not in germany_x000D_
_x000D_
details are attached to the ticket."	mynfoicj riuvxdas	GRP_13
missrouting of printouts:  check settings if printing invoiuce to printer ag28 / fÃ¼rth and change printer to jc00 / 	"_x000D_
_x000D_
received from: tkuivxrn.urdgitsv@gmail.com_x000D_
_x000D_
hello,_x000D_
_x000D_
settings in erp SID_34 system of printing inwarehouse_tool e.g. 0158047476 are wrong (plant_168 to plant_113 shipments)._x000D_
_x000D_
please change setting to printer jc00, due to no requirement to continue printing  these paper in fÃ¼rth = protect the planet._x000D_
_x000D_
many "	qgopxabz xnuieqjr	GRP_13
vfx3 - 1417 - foreign trade data missing	"dear it team,_x000D_
_x000D_
i checked this morning vfx3, unfortunately, there are still 4 entries, where i do not know what to do._x000D_
can you please check?_x000D_
inwarehouse_tool 0158898835: pricing error_x000D_
inwarehouse_tools 0158947538, 0158027980 and 0158027991: i completed the foreign trade data, but the error is still coming. _x000D_
_x000D_
as we have months end, we need to fix this today._x000D_
_x000D_
"	fmqubnvs kcxpeyiv	GRP_13
vfx3, 4 interco inwarehouse_tools cannot be processed	"error: no number range number has been recorded for billing document xxx_x000D_
_x000D_
inwarehouse_tools  (all sales org 1268)_x000D_
0340093016_x000D_
9239982988_x000D_
0340006052_x000D_
9239997472_x000D_
_x000D_
"	ipwjorsc uboapexr	GRP_13
we don't able to insert money value in crm's authorization return	we don't able to insert money value in crm's authorization return	swnjocmk etpuhnwg	GRP_13
complaint  7611183254     /  workfflow	"i create a complaint  7611183254_x000D_
the complaint ist not in the workflow   to approval_x000D_
please help me"	cdbhoxir vlpkithu	GRP_13
erp delivery issues	"_x000D_
_x000D_
received from: raifstow.gfeymtql@gmail.com_x000D_
_x000D_
hello,_x000D_
_x000D_
i am having issues forcing deliveries in erp._x000D_
_x000D_
[cid:image001.png@01d1ff73.c210fc30]_x000D_
_x000D_
"	raifstow gfeymtql	GRP_13
close line item on order 19101476	"hi,_x000D_
please close line item 91 on order number 20212587 because it has already been delivered but remains open in md04._x000D_
"	cqrmewsi xypfqhid	GRP_13
i am stuck.     has 3 lines.   lines 40 and 50 have been inwarehouse_toold 0158401519.   line 60 we cannot pgi	"i am stuck.    9168335496 has 3 lines.   lines 40 and 50 have been inwarehouse_toold 0158401519.   line 60 we cannot pgi, so it has not inwarehouse_toold.  any ideas on how we can get line 60 inwarehouse_toold?_x000D_
_x000D_
 _x000D_
_x000D_
_x000D_
v  _x000D_
"	avkotjzx hmntobws	GRP_13
inwarehouse_tools 0581144512 and 0581149834 issued for ic5268. should be ic5252.	"inwarehouse_tools 0581144512 and 0581149834 issued for ic5268. should be ic5252._x000D_
"	ipwjorsc uboapexr	GRP_13
wrong calculation in erp	"the rebate was not calculated correctly in the inwarehouse_tools 0158493708 + 0158484133._x000D_
it was too little rebate."	vrmdtcal agythfow	GRP_13
inwarehouse_tool not creating	"_x000D_
_x000D_
received from: uisewznr.ewtmkphs@gmail.com_x000D_
_x000D_
hi team,_x000D_
_x000D_
delivery # 9168077553 is not creating an inwarehouse_tool and i cannot see any reason why it is not creating. can you please resolve this issue? "	uisewznr ewtmkphs	GRP_13
erp round off on total	we entered so 35941677, total of order should be $1,150.50 but erp is rounding it off to $1,151.70  it is creating a 20 cent difference.  this order is one of few and is causing quite a bit of re-invoicing and payment rejections.  	iqbyrtop izpmvgfq	GRP_13
delivery notes - unable to inwarehouse_tool four deliveries.  error indicates a block. no block on orders	"deliveries mentioned below are not invoicing.   try to do it manual under vf01.  errors were:   the billing type could not be determined, block for billing, the item is not relevant for billing.  _x000D_
9168911759_x000D_
8057800533_x000D_
9168911663_x000D_
8057800653_x000D_
9168911772_x000D_
8057800687_x000D_
9165515998_x000D_
_x000D_
need resolved before month end.     any questions please contact ibtvlfah dtlwscma 479-633-6608"	ibtvlfah dtlwscma	GRP_13
top urgent request les team: change back kis inwarehouse_tool sender address of  sales orgr 1278 from germany to fÃ¼rth	"subject: wrong address on kis inwarehouse_tools for salsed org 1278_x000D_
importance: high_x000D_
_x000D_
kis commercial inwarehouse_tools for sales org 1278 print wrong sender address, which cause legal compliance error with german customs.  _x000D_
revers 1278  sales org address to company infrastruture gmbh, wehlauerstr. 73,  90766 germany  today!!!_x000D_
_x000D_
please confrim estimated time of change  in SID_34 system aspap. _x000D_
"	qgopxabz xnuieqjr	GRP_13
sales order 35944817: committed date = sunday	"hello it,_x000D_
_x000D_
please check, why the system allows a sundaycommitted date._x000D_
_x000D_
"	jwqyxbzs adpvilqu	GRP_13
the same material was posted in two different plants. display material document 5042203567. mov. 541 mm#3475529	sometimes we need to send some material to the vendors for manufacturing different kind of new itens to company. in this case, when we sent the mm# 4586630 to the external vendor, the system make two different moviments. one at plant plant_248 and another at plant plant_250. because of this problem, we cannot create a nota financial_toolcal and we cannot reverse the moviment.	yjcxvrhu mlqfuapc	GRP_13
cannot change in conditions tab	"_x000D_
_x000D_
received from: nuhfwplj.ojcwxser@gmail.com_x000D_
_x000D_
hello,_x000D_
it appears i don't have access to change any values in the conditions tab.  please review for the issue, as i need to complete this quote and convert to usd/kg instead of rub/kg._x000D_
_x000D_
[cid:image001.png@01d1fc7d.3c4918b0]_x000D_
_x000D_
_x000D_
"	nuhfwplj ojcwxser	GRP_13
erp order acknowledgement weight difference	"_x000D_
_x000D_
received from: nuhfwplj.ojcwxser@gmail.com_x000D_
_x000D_
hello,_x000D_
_x000D_
please review the quantity on the attached  order acknowledgement._x000D_
in the quantity column the weight of 4.536 kg is correct._x000D_
in the description field the qty is 3.000 kg.  this is incorrect._x000D_
correct the quantity value to be 4.536 kg in both areas._x000D_
_x000D_
"	nuhfwplj ojcwxser	GRP_13
having to approve the same credit memo several times.	please review the approver level for stefyty ross (director of sales).  at times, i am having to approve the same credit memo 2 to 3 times in workflow.  this should not be happening. 	sghamujc shompueb	GRP_13
unable to open the order confirmation from the erp	"_x000D_
_x000D_
received from: rslvwpnh.emkfpqiy@gmail.com_x000D_
_x000D_
please find the snap shot of the screen._x000D_
_x000D_
am unable to open the url : _x000D_
_x000D_
[cid:image001.jpg@01d1fc86.94db1ce0]_x000D_
_x000D_
"	rslvwpnh emkfpqiy	GRP_13
issue when updating vv32	"_x000D_
_x000D_
received from: rhwsmefo.tvphyura@gmail.com_x000D_
_x000D_
hello.  we are experiencing an issue when updating the following fields in vv32 ; partner and lang.  we have to update this field multiple times before it works in erp.  this is causing problems with customers receiving inwarehouse_tools so please markhty as high priority.  i had to update the record below at least 5 times before the partner and lang saved. "	rhwsmefo tvphyura	GRP_13
please change to the japanese.	"hi,_x000D_
_x000D_
it is a screen of the sales order._x000D_
please change to the japanese._x000D_
there is also when the ship-to is displayed in japanese._x000D_
domestic customers want to display in japanese._x000D_
_x000D_
best "	uxndyfrs vahxnfgl	GRP_13
why the changed weight of the mm hasn't been copied to the sales order?	"we met the weight problem when make shipment to order 35410210, shipping plant complained the weight in d/n for some of mms still remain 11.111g( dummy weight for a new mm). but actually the weight of the mm has already be updated at mm02 to the real weight before dn created. so why system cannot carry out the new weight to the sales order? see samples mm7316889 in this s/o._x000D_
the mm changes recorded said the weight was updated from 11.111g to 500g on june 21 2016, however the s/o still keep 11.111g so when plant_185 run d/n on aug. 10 2016, the weight in d/n still shown 11.111g thus warehouse have to manual update the weight in d/n._x000D_
please verify what's the problem, "	urfdkvei bfiulzto	GRP_13
rma customer return error	"billing 0158655822 , inwarehouse_tool 415464 _x000D_
customer return not processed correctly_x000D_
when input billing 0158655822, the material isn't copied from the reference."	cxfrvtyn rapoejyb	GRP_13
erp consignment zkea issue with creating duplicate kb orders	order 35867766 zkea was created and erp generated 2 fill orders, zkb orders. order 35867760 and 35867772. see screenshot in email attached. erp should have created only 1 fill kb order. customer receive duplicate fills and will be returning the product	zsulhnxd gexdzoqy	GRP_13
unable to change quotation.	unable to change quotation.	txjwyami fhlgpsim	GRP_13
zz_mails : unable to send quotations to customer /sales	"_x000D_
_x000D_
received from: afwzehqs.jfbxegac@gmail.com_x000D_
_x000D_
hello team_x000D_
_x000D_
we are unable to send any quotations to customer or sales through zz_mails._x000D_
_x000D_
please check and resolve immediately._x000D_
_x000D_
example: 3116105044 was sent to afwzehqs.jfbxegac@gmail.com<mailto:afwzehqs.jfbxegac@gmail.com> but not received._x000D_
_x000D_
warm "	afwzehqs jfbxegac	GRP_13
document sent out via zz_mails can't be received in time	"i made a uacyltoe hxgaycze as sent document 7611183197 to my own email address via zz_mails at 3 pm (apac time).
but 30 mins later, it still has not been received.
"	zupifghd vdqxepun	GRP_13
zz_mails is not working	"dear it team, _x000D_
today our zz_mails is not working, can you please check what happened?_x000D_
"	fmqubnvs kcxpeyiv	GRP_13
urgent!! erp outputs not generated	all users in poland encounter issue with erp outputs (see the error message attached) 	djpwfxzt cfkwxlmq	GRP_13
unable to generate inwarehouse_tool as per delivery# 8057901657	unable to generate inwarehouse_tool as per delivery# 9168012768, we've got the error message ie. bapi_po_create fail: material auto extend failed, please help fix this error and advise back to us.  then, we will generate tax inwarehouse_tool at our end, 	tqfnalpj qyoscnge	GRP_13
no intercompany 	"

received from: dumovtpj.ahgjsvoq@gmail.com

hi team,

we can not generate intercompany for delivery note 9168034926 the following error message appears, can you please
have a look:

[cid:image001.png@01d1f7b2.8e308980]

mit freundlichen grugermany / best "	dumovtpj ahgjsvoq	GRP_13
return 7112594470 is held up in worklfow under approval vnhaycfo smkpfjzv- as of 4/27/16	"vnhaycfo smkpfjzv is not with earthworks usa- customer order is being up held due to credit involved with this return. return has been received on 5/4/2016.  _x000D_
"	toeibhlp gukqjwnr	GRP_13
cant complete quote number 	"cant complete quote number _x000D_
3116216659 get error massage_x000D_
""line item -> 000010_x000D_
entered brand is not listed, enter a valid brand for line item"" "	zevqkaxh gkmohwdb	GRP_13
when customer service enters an order for acct #81523266 they get the error sales office not valid for flat rate	"this is a company account with sales office = fmw1.  on 6/18/16, the shipping conditions was updated to 10 (ground) and the default carrier to tupsgrnd_x000D_
_x000D_
bob lewicki requested that i entered a ticket.  his comments :       ""i believe that some logic for restricting sales offices was added so that infrastructure would not try to use flat rate, but usa should definitely not be on there. i have copied prishry and rabhtui for input. in the meantime can you please enter a ticket to get it corrected, i believe that it should be able to be adjusted in a table"""	nkthumgf mwgdenbs	GRP_13
mandatory condition mwst is missing for order 35805176 customer master 70928858	"could you please check what is wrong with customer master 81039969? we can't create delivery because there are incomplete log -pricing error: mandatory condition mwst is missing_x000D_
we check with pricing department and mwst is defined for this customer corretly,_x000D_
_x000D_
there should be  tax like for turkey tr ""tax free trade zone"" because customer is from  azerbaijan, maybe has to be added some condition for this country also,_x000D_
_x000D_
we have to ship the tools today because it is new order form new distributor with big potential, so priority -2 _x000D_
_x000D_
"	qnstifeb hybrjfex	GRP_13
application response time (other network resources work normally)	"please provide details in the template below (if multiple applications are impacted, please use the quick ticket template in the ""operations"" folder).
site / location :  usa
user id (ad) : dinkifgtrl
system you are seeing performance problems on (please list all) (e.g., crm, erp, bw, bobj): SID_34 erp production //  server name - HostName_201
transactions that are slow (e.g., va01, create an order): quotes and orders // va01, va21
area this belongs to (e.g., sales, finance, markhtyeting etc.):  sales (as per robhyertyj)
how can this issue be replicated by the it support group: 
are other users seeing this? yes, 40+
please attach relevant screenshots and exact times when the issue occurred: attached

user name - robhyertyj l dinfgrtyukins
contact no - "	itylnjqw kqiurhbt	GRP_13
application response time (other network resources work normally)	"please provide details in the template below (if multiple applications are impacted, please use the quick ticket template in the ""operations"" folder).
site / location :  corporate
user id (ad) :  prohgtyarb
system you are seeing performance problems on (please list all) (e.g., crm, erp, bw, bobj):  workflow
transactions that are slow (e.g., va01, create an order):  quote
area this belongs to (e.g., sales, finance, markhtyeting etc.):  sales
how can this issue be replicated by the it support group: 
are other users seeing this? 
please attach relevant screenshots and exact times when the issue occurred: q#3116214820 is stuck in my workflow, when i try to go in it, says i am in it, and i cannot save it out"	jpufgorh xltfrpcy	GRP_13
to remove plant_101 plant assignment to sale orgs 1444 & 1445 - romania & slovakia project related	this was supposed to be removed immediately after uat, however we missed removing this assignment. shipment from plant_101 was assigned only for uacyltoe hxgayczeing purposes. business requirement may come in future. 	ospmbweg peswfcbj	GRP_13
quotation with configured new simple special items remains incomplete in SID_1	"quotation with configured new simple special items remains incomplete in SID_1:_x000D_
quotes were created in distributor_tool._x000D_
a) quote 3115968739 /11  - alternate mill_model item gets not replaced with material # of initial item 10._x000D_
b) quote 3115968742 / 10 and 11. pricing remains incomplete. i cannot identify what is actually incomplete. but erp shows the status incomplete and therefore the quote cannot be printed and sent to customer over web."	iavozegx jpcudyfi	GRP_13
SID_34/1108/vf01-vf04/ price problems zor agains zf2 inwarehouse_tool	"we have facing problems with the inwarehouse_tools , the price into the order is correct, but the inwarehouse_tool has another price!!!!_x000D_
example order confirmed 35881790 delivery 9168954879 inwarehouse_tool 0158914039_x000D_
example order confirmed 35882469 delivery 9168955759 inwarehouse_tool 0158915223_x000D_
i must issue the inwarehouse_tools 24 hours after the import payment. in this moment we stopped the process . "	zvjwleuo tdfqgcal	GRP_13
zdis discounts do not appear	"zdis discounts are not applying and should be.  zdis isn't even showing as a condition and should be.  this is causing incorrect sales orders and orders to be placed on hold.  _x000D_
please see the following sales orders.  _x000D_
35892987.  _x000D_
35891192 items 20 and 50-80.  _x000D_
quote 3116213902 items 20 & 40."	rmegscqu juksmtho	GRP_13
rounding concerns for mexico.  please assign ticket to rabhtuikurtyar  tammineni	znet should not be applied to zcnc, zcnp or manual condition for 1108.	rmegscqu juksmtho	GRP_13
calculation of the claim amount will make a mistake.	"from: uxndyfrs vahxnfgl [mailto:uxndyfrs.vahxnfgl@gmail.com] _x000D_
sent: friday, august 05, 2016 10:53 am_x000D_
to: nwfodmhc exurcwkm_x000D_
subject: rad:fw: calculation of the claim amount will make a mistake._x000D_
_x000D_
hi_x000D_
_x000D_
calculation of the claim amount will make a mistake._x000D_
please fix this._x000D_
_x000D_
the total amount of money usd 2770_x000D_
_x000D_
best "	uxndyfrs vahxnfgl	GRP_13
